avg distance in network	2.87 ± 0.74
Average distance for random:	3.1199068288508296
Average distance for PDGrapher:	2.8747130923010267
P-value t-test of PDGrapher distances being smaller than random:	0.0
Median distance for random:	3.0
Median distance for PDGrapher:	3.0
Statistic MW-test of PDGrapher distances being smaller than random:	130319682762.5
P-value MW-test of PDGrapher distances being smaller than random:	0.0
Effect size:	0.16453485110714505
Confidence intervanl:	(0.16280925645652747, 0.1662827111900146)
