avg distance in network	2.73 ± 0.74
Average distance for random:	3.0520882890652223
Average distance for PDGrapher:	2.731010961349667
P-value t-test of PDGrapher distances being smaller than random:	0.0
Median distance for random:	3.0
Median distance for PDGrapher:	3.0
Statistic MW-test of PDGrapher distances being smaller than random:	2467552927427.0
P-value MW-test of PDGrapher distances being smaller than random:	0.0
Effect size:	0.2191058233204316
Confidence intervanl:	(0.2182395470626802, 0.22001676739825407)
