avg distance in network	2.53 ± 0.75
Average distance for random:	3.051284243728416
Average distance for PDGrapher:	2.534834744964286
P-value t-test of PDGrapher distances being smaller than random:	0.0
Median distance for random:	3.0
Median distance for PDGrapher:	3.0
Statistic MW-test of PDGrapher distances being smaller than random:	129003880519.0
P-value MW-test of PDGrapher distances being smaller than random:	0.0
Effect size:	0.353107047471677
Confidence intervanl:	(0.3515577850257587, 0.35493273973656986)
