HGNC ID	Approved symbol	NCBI Gene ID	Ensembl gene ID
HGNC:21398	ABHD6	57406	ENSG00000163686
HGNC:23759	ABHD8	79575	ENSG00000127220
HGNC:25656	ABHD10	55347	ENSG00000144827
HGNC:16407	ABHD11	83451	ENSG00000106077
HGNC:18289	ABHD11-AS1	171022	ENSG00000225969
HGNC:40012	ABHD11-AS2		
HGNC:15868	ABHD12	26090	ENSG00000100997
HGNC:19837	ABHD12B	145447	ENSG00000131969
HGNC:20293	ABHD13	84945	ENSG00000139826
HGNC:24538	ABHD14A	25864	ENSG00000248487
HGNC:38856	ABHD14A-ACY1	100526760	ENSG00000114786
HGNC:28235	ABHD14B	84836	ENSG00000114779
HGNC:26971	ABHD15	116236	ENSG00000168792
HGNC:49685	ABHD15-AS1		ENSG00000264031
HGNC:13921	ABHD16A	7920	ENSG00000204427
HGNC:16128	ABHD16B	140701	ENSG00000183260
HGNC:28756	ABHD17A	81926	ENSG00000129968
HGNC:28394	ABHD17AP1	728917	ENSG00000198658
HGNC:33538	ABHD17AP2		
HGNC:34041	ABHD17AP3	648359	ENSG00000250536
HGNC:34042	ABHD17AP4	729495	ENSG00000229107
HGNC:34043	ABHD17AP5	91219	ENSG00000263366
HGNC:34044	ABHD17AP6	644988	ENSG00000226981
HGNC:38508	ABHD17AP7	100133212	ENSG00000260864
HGNC:38509	ABHD17AP8	647144	ENSG00000260540
HGNC:38510	ABHD17AP9	100132251	ENSG00000261536
HGNC:24278	ABHD17B	51104	ENSG00000107362
HGNC:26925	ABHD17C	58489	ENSG00000136379
HGNC:26111	ABHD18	80167	ENSG00000164074
HGNC:11320	ABI1	10006	ENSG00000136754
HGNC:20035	ABI1P1	326268	ENSG00000271484
HGNC:24011	ABI2	10152	ENSG00000138443
HGNC:29859	ABI3	51225	ENSG00000108798
HGNC:17265	ABI3BP	25890	ENSG00000154175
HGNC:1364	ABITRAM	54942	ENSG00000119328
HGNC:39851	ABITRAMP1	390403	ENSG00000251106
HGNC:76	ABL1	25	ENSG00000097007
HGNC:77	ABL2	27	ENSG00000143322
HGNC:78	ABLIM1	3983	ENSG00000099204
HGNC:19195	ABLIM2	84448	ENSG00000163995
HGNC:29132	ABLIM3	22885	ENSG00000173210
HGNC:79	ABO	28	ENSG00000175164
HGNC:81	ABR	29	ENSG00000159842
HGNC:30655	ABRA	137735	ENSG00000174429
HGNC:21230	ABRACL	58527	ENSG00000146386
HGNC:25829	ABRAXAS1	84142	ENSG00000163322
HGNC:28975	ABRAXAS2	23172	ENSG00000165660
HGNC:17369	ABT1	29777	ENSG00000146109
HGNC:39557	ABT1P1	100420695	ENSG00000250496
HGNC:18275	ABTB1	80325	ENSG00000114626
HGNC:23842	ABTB2	25841	ENSG00000166016
HGNC:82	ACAA1	30	ENSG00000060971
HGNC:83	ACAA2	10449	ENSG00000167315
HGNC:84	ACACA	31	ENSG00000278540
HGNC:85	ACACB	32	ENSG00000076555
HGNC:86	ACAD		
HGNC:87	ACAD8	27034	ENSG00000151498
HGNC:21497	ACAD9	28976	ENSG00000177646
HGNC:21597	ACAD10	80724	ENSG00000111271
HGNC:30211	ACAD11	84129	ENSG00000240303
HGNC:88	ACADL	33	ENSG00000115361
HGNC:89	ACADM	34	ENSG00000117054
HGNC:90	ACADS	35	ENSG00000122971
HGNC:91	ACADSB	36	ENSG00000196177
HGNC:92	ACADVL	37	ENSG00000072778
HGNC:319	ACAN	176	ENSG00000157766
HGNC:16467	ACAP1	9744	ENSG00000072818
HGNC:16469	ACAP2	23527	ENSG00000114331
