HGNC ID	Approved symbol	NCBI Gene ID	Ensembl gene ID
HGNC:708	ARPC5	10092	ENSG00000162704
HGNC:23366	ARPC5L	81873	ENSG00000136950
HGNC:28782	ARPIN	348110	ENSG00000242498
HGNC:38824	ARPIN-AP3S2	100526783	ENSG00000250021
HGNC:16967	ARPP19	10776	ENSG00000128989
HGNC:54698	ARPP19P1	646227	ENSG00000231228
HGNC:54699	ARPP19P2	643896	ENSG00000204637
HGNC:16968	ARPP21	10777	ENSG00000172995
HGNC:40785	ARPP21-AS1		ENSG00000230830
HGNC:709	ARR1		
HGNC:710	ARR3	407	ENSG00000120500
HGNC:711	ARRB1	408	ENSG00000137486
HGNC:712	ARRB2	409	ENSG00000141480
HGNC:28633	ARRDC1	92714	ENSG00000197070
HGNC:23395	ARRDC1-AS1	85026	ENSG00000203993
HGNC:25225	ARRDC2	27106	ENSG00000105643
HGNC:29263	ARRDC3	57561	ENSG00000113369
HGNC:44145	ARRDC3-AS1	100129716	ENSG00000281357
HGNC:28087	ARRDC4	91947	ENSG00000140450
HGNC:31407	ARRDC5	645432	ENSG00000205784
HGNC:713	ARSA	410	ENSG00000100299
HGNC:714	ARSB	411	ENSG00000113273
HGNC:715	ARSC1		
HGNC:716	ARSC2	413	
HGNC:717	ARSD	414	ENSG00000006756
HGNC:40085	ARSD-AS1	100506356	ENSG00000229851
HGNC:718	ARSDP1	10034	ENSG00000225117
HGNC:721	ARSF	416	ENSG00000062096
HGNC:722	ARSFP1	23757	ENSG00000232226
HGNC:24102	ARSG	22901	ENSG00000141337
HGNC:32488	ARSH	347527	ENSG00000205667
HGNC:32521	ARSI	340075	ENSG00000183876
HGNC:26286	ARSJ	79642	ENSG00000180801
HGNC:25239	ARSK	153642	ENSG00000164291
HGNC:719	ARSL	415	ENSG00000157399
HGNC:720	ARSLP1	10033	ENSG00000224060
HGNC:723	ART1	417	ENSG00000129744
HGNC:51489	ART2BP	106481723	ENSG00000237408
HGNC:724	ART2P	418	ENSG00000238048
HGNC:725	ART3	419	ENSG00000156219
HGNC:726	ART4	420	ENSG00000111339
HGNC:24049	ART5	116969	ENSG00000167311
HGNC:727	ARTN	9048	ENSG00000117407
HGNC:29561	ARV1	64801	ENSG00000173409
HGNC:728	ARVCF	421	ENSG00000099889
HGNC:729	ARVD1		
HGNC:730	ARVD2		
HGNC:731	ARVD3		
HGNC:732	ARVD4		
HGNC:733	ARVD5		
HGNC:18060	ARX	170302	ENSG00000004848
HGNC:734	AS		
HGNC:17452	AS3MT	57412	ENSG00000214435
HGNC:735	ASAH1	427	ENSG00000104763
HGNC:18860	ASAH2	56624	ENSG00000188611
HGNC:23456	ASAH2B	653308	ENSG00000204147
HGNC:23457	ASAH2C		
HGNC:2720	ASAP1	50807	ENSG00000153317
HGNC:24998	ASAP1-IT1	29065	
HGNC:48917	ASAP1-IT2	100507117	ENSG00000280543
HGNC:2721	ASAP2	8853	ENSG00000151693
HGNC:14987	ASAP3	55616	ENSG00000088280
HGNC:737	ASB		
HGNC:16011	ASB1	51665	ENSG00000065802
HGNC:16012	ASB2	51676	ENSG00000100628
HGNC:16013	ASB3	51130	ENSG00000115239
HGNC:16009	ASB4	51666	ENSG00000005981
HGNC:17180	ASB5	140458	ENSG00000164122
HGNC:17181	ASB6	140459	ENSG00000148331
HGNC:17182	ASB7	140460	ENSG00000183475
HGNC:17183	ASB8	140461	ENSG00000177981
HGNC:17184	ASB9	140462	ENSG00000102048
HGNC:20972	ASB9P1	728619	ENSG00000258527
HGNC:17185	ASB10	136371	ENSG00000146926
HGNC:17186	ASB11	140456	ENSG00000165192
HGNC:19763	ASB12	142689	ENSG00000198881
HGNC:19765	ASB13	79754	ENSG00000196372
HGNC:19766	ASB14	142686	ENSG00000239388
HGNC:19767	ASB15	142685	ENSG00000146809
HGNC:40904	ASB15-AS1	102724555	ENSG00000230442
HGNC:19768	ASB16	92591	ENSG00000161664
HGNC:25442	ASB16-AS1	339201	ENSG00000267080
HGNC:19769	ASB17	127247	ENSG00000154007
HGNC:19770	ASB18	401036	ENSG00000182177
HGNC:24268	ASCC1	51008	ENSG00000138303
HGNC:24103	ASCC2	84164	ENSG00000100325
HGNC:18697	ASCC3	10973	ENSG00000112249
HGNC:738	ASCL1	429	ENSG00000139352
HGNC:739	ASCL2	430	ENSG00000183734
HGNC:740	ASCL3	56676	ENSG00000176009
HGNC:24311	ASCL4	121549	ENSG00000187855
HGNC:33169	ASCL5	647219	ENSG00000232237
HGNC:741	ASD1		
HGNC:53619	ASDURF	110599588	ENSG00000286053
HGNC:20995	ASF1A	25842	ENSG00000111875
HGNC:20996	ASF1B	55723	ENSG00000105011
HGNC:742	ASGR1	432	ENSG00000141505
HGNC:743	ASGR2	433	ENSG00000161944
HGNC:19088	ASH1L	55870	ENSG00000116539
HGNC:44146	ASH1L-AS1	645676	ENSG00000235919
HGNC:41449	ASH1L-IT1		ENSG00000227773
HGNC:744	ASH2L	9070	ENSG00000129691
HGNC:19332	ASH2LP1	266703	ENSG00000224144
HGNC:53059	ASH2LP2	100422088	ENSG00000237428
HGNC:53060	ASH2LP3	100736411	ENSG00000225724
HGNC:100	ASIC1	41	ENSG00000110881
HGNC:99	ASIC2	40	ENSG00000108684
HGNC:101	ASIC3	9311	ENSG00000213199
HGNC:21263	ASIC4	55515	ENSG00000072182
HGNC:40960	ASIC4-AS1	105373885	ENSG00000227432
HGNC:17537	ASIC5	51802	ENSG00000256394
HGNC:745	ASIP	434	ENSG00000101440
HGNC:746	ASL	435	ENSG00000126522
HGNC:748	ASLN		
HGNC:747	ASLP1	436	ENSG00000244723
HGNC:749	ASMD		
HGNC:750	ASMT	438	ENSG00000196433
HGNC:751	ASMTL	8623	ENSG00000169093
HGNC:25811	ASMTL-AS1	80161	ENSG00000236017
HGNC:753	ASNS	440	ENSG00000070669
HGNC:24910	ASNSD1	54529	ENSG00000138381
HGNC:754	ASNSP1	389652	ENSG00000248498
HGNC:755	ASNSP2	442	
HGNC:39399	ASNSP3	100423061	ENSG00000236554
HGNC:39400	ASNSP4	100419423	ENSG00000251470
HGNC:39401	ASNSP5	100873794	
HGNC:49876	ASNSP6	100423060	ENSG00000267333
HGNC:756	ASPA	443	ENSG00000108381
HGNC:33856	ASPDH	554235	ENSG00000204653
HGNC:20123	ASPG	374569	ENSG00000166183
HGNC:757	ASPH	444	ENSG00000198363
HGNC:27380	ASPHD1	253982	ENSG00000174939
HGNC:30437	ASPHD2	57168	ENSG00000128203
HGNC:19048	ASPM	259266	ENSG00000066279
HGNC:14872	ASPN	54829	ENSG00000106819
HGNC:26321	ASPRV1	151516	ENSG00000244617
HGNC:13825	ASPSCR1	79058	ENSG00000169696
HGNC:16448	ASRGL1	80150	ENSG00000162174
HGNC:758	ASS1	445	ENSG00000130707
HGNC:759	ASS1P1	442167	ENSG00000220517
HGNC:765	ASS1P2	447	ENSG00000223922
HGNC:766	ASS1P3	158452	ENSG00000233947
HGNC:767	ASS1P4	449	ENSG00000213487
HGNC:768	ASS1P5	450	ENSG00000227881
HGNC:769	ASS1P6	451	ENSG00000215583
HGNC:770	ASS1P7	339845	ENSG00000236893
HGNC:771	ASS1P8	453	ENSG00000251418
HGNC:772	ASS1P9	454	ENSG00000217791
HGNC:760	ASS1P10	455	ENSG00000215325
HGNC:761	ASS1P11	340274	ENSG00000225308
HGNC:762	ASS1P12	392302	ENSG00000237437
HGNC:763	ASS1P13	341230	ENSG00000255353
HGNC:764	ASS1P14	459	ENSG00000257316
HGNC:25021	ASTE1	28990	ENSG00000034533
HGNC:31704	ASTL	431705	ENSG00000188886
HGNC:773	ASTN1	460	ENSG00000152092
HGNC:17021	ASTN2	23245	ENSG00000148219
HGNC:51175	ASTN2-AS1	100128505	ENSG00000229105
HGNC:774	ASVS1		
HGNC:18318	ASXL1	171023	ENSG00000171456
HGNC:23805	ASXL2	55252	ENSG00000143970
HGNC:29357	ASXL3	80816	ENSG00000141431
HGNC:55290	ASXL3-DT		ENSG00000267642
HGNC:1350	ASZ1	136991	ENSG00000154438
HGNC:14223	AT3		
HGNC:776	ATA		
HGNC:25903	ATAD1	84896	ENSG00000138138
HGNC:30123	ATAD2	29028	ENSG00000156802
HGNC:29230	ATAD2B	54454	ENSG00000119778
HGNC:25567	ATAD3A	55210	ENSG00000197785
HGNC:24007	ATAD3B	83858	ENSG00000160072
HGNC:32151	ATAD3C	219293	ENSG00000215915
HGNC:25752	ATAD5	79915	ENSG00000176208
HGNC:21186	ATAT1	79969	ENSG00000137343
HGNC:778	ATC		
HGNC:779	ATCAY	85300	ENSG00000167654
HGNC:780	ATD		
HGNC:781	ATDC		
HGNC:782	ATE1	11101	ENSG00000107669
HGNC:49496	ATE1-AS1	100130887	ENSG00000226864
HGNC:783	ATF1	466	ENSG00000123268
HGNC:37691	ATF1P1	100128159	ENSG00000219387
HGNC:784	ATF2	1386	ENSG00000115966
HGNC:785	ATF3	467	ENSG00000162772
HGNC:786	ATF4	468	ENSG00000128272
HGNC:789	ATF4P1	469	ENSG00000213338
HGNC:34025	ATF4P2	340600	ENSG00000273041
HGNC:788	ATF4P3	643159	ENSG00000228218
HGNC:787	ATF4P4	100127952	ENSG00000256167
HGNC:790	ATF5	22809	ENSG00000169136
HGNC:791	ATF6	22926	ENSG00000118217
HGNC:2349	ATF6B	1388	ENSG00000213676
HGNC:792	ATF7	11016	ENSG00000170653
HGNC:55073	ATF7-NPFF	114108587	ENSG00000267281
HGNC:20092	ATF7IP	55729	ENSG00000171681
HGNC:20397	ATF7IP2	80063	ENSG00000166669
HGNC:29028	ATG2A	23130	ENSG00000110046
HGNC:20187	ATG2B	55102	ENSG00000066739
HGNC:20962	ATG3	64422	ENSG00000144848
HGNC:31123	ATG3P1	100135756	ENSG00000224357
HGNC:16489	ATG4A	115201	ENSG00000101844
HGNC:44081	ATG4AP1		ENSG00000232735
HGNC:20790	ATG4B	23192	ENSG00000168397
HGNC:16040	ATG4C	84938	ENSG00000125703
HGNC:20789	ATG4D	84971	ENSG00000130734
HGNC:589	ATG5	9474	ENSG00000057663
HGNC:16935	ATG7	10533	ENSG00000197548
HGNC:22408	ATG9A	79065	ENSG00000198925
HGNC:21899	ATG9B	285973	ENSG00000181652
HGNC:20315	ATG10	83734	ENSG00000152348
HGNC:40914	ATG10-AS1		ENSG00000248192
HGNC:41455	ATG10-IT1		ENSG00000236447
HGNC:588	ATG12	9140	ENSG00000145782
HGNC:21466	ATG12P1	100151642	ENSG00000266501
HGNC:38605	ATG12P2	100293948	ENSG00000224121
HGNC:29091	ATG13	9776	ENSG00000175224
HGNC:19962	ATG14	22863	ENSG00000126775
HGNC:21498	ATG16L1	55054	ENSG00000085978
HGNC:25464	ATG16L2	89849	ENSG00000168010
HGNC:25679	ATG101	60673	ENSG00000123395
HGNC:793	ATHS		
HGNC:794	ATIC	471	ENSG00000138363
HGNC:11231	ATL1	51062	ENSG00000198513
HGNC:24047	ATL2	64225	ENSG00000119787
HGNC:24526	ATL3	25923	ENSG00000184743
HGNC:795	ATM	472	ENSG00000149311
HGNC:29034	ATMIN	23300	ENSG00000166454
HGNC:3033	ATN1	1822	ENSG00000111676
HGNC:796	ATN1L		
HGNC:797	ATOH1	474	ENSG00000172238
HGNC:13907	ATOH7	220202	ENSG00000179774
HGNC:24126	ATOH8	84913	ENSG00000168874
HGNC:798	ATOX1	475	ENSG00000177556
HGNC:799	ATP1A1	476	ENSG00000163399
HGNC:28262	ATP1A1-AS1	84852	ENSG00000203865
HGNC:800	ATP1A2	477	ENSG00000018625
HGNC:801	ATP1A3	478	ENSG00000105409
HGNC:14073	ATP1A4	480	ENSG00000132681
HGNC:802	ATP1AL1		
HGNC:803	ATP1AL2		
HGNC:804	ATP1B1	481	ENSG00000143153
HGNC:809	ATP1B1P1	485	ENSG00000249212
HGNC:805	ATP1B2	482	ENSG00000129244
HGNC:806	ATP1B3	483	ENSG00000069849
HGNC:40088	ATP1B3-AS1		ENSG00000244124
HGNC:807	ATP1B3P1	484	ENSG00000271707
HGNC:808	ATP1B4	23439	ENSG00000101892
HGNC:810	ATP1G1		
HGNC:811	ATP2A1	487	ENSG00000196296
HGNC:51370	ATP2A1-AS1	100289092	ENSG00000260442
HGNC:812	ATP2A2	488	ENSG00000174437
HGNC:813	ATP2A3	489	ENSG00000074370
HGNC:814	ATP2B1	490	ENSG00000070961
HGNC:27883	ATP2B1-AS1	338758	ENSG00000271614
HGNC:815	ATP2B2	491	ENSG00000157087
HGNC:41309	ATP2B2-IT1		ENSG00000236999
HGNC:41310	ATP2B2-IT2		ENSG00000224771
HGNC:816	ATP2B3	492	ENSG00000067842
HGNC:817	ATP2B4	493	ENSG00000058668
HGNC:13211	ATP2C1	27032	ENSG00000017260
HGNC:29103	ATP2C2	9914	ENSG00000064270
HGNC:53167	ATP2C2-AS1	105371374	ENSG00000261286
HGNC:818	ATP3		
HGNC:819	ATP4A	495	ENSG00000105675
HGNC:820	ATP4B	496	ENSG00000186009
HGNC:821	ATP5		
HGNC:822	ATP5A		
HGNC:825	ATP5A1P5		
HGNC:37664	ATP5A1P6		
HGNC:37667	ATP5A1P9		
HGNC:826	ATP5AL2		
HGNC:832	ATP5BL2		
HGNC:835	ATP5CL1		
HGNC:836	ATP5CL2		
HGNC:823	ATP5F1A	498	ENSG00000152234
HGNC:827	ATP5F1AP1	442416	ENSG00000234861
HGNC:828	ATP5F1AP2	504	ENSG00000227682
HGNC:829	ATP5F1AP3	645443	ENSG00000263232
HGNC:23563	ATP5F1AP4	100129782	ENSG00000258877
HGNC:37665	ATP5F1AP7	442415	ENSG00000241571
HGNC:37666	ATP5F1AP8	392322	ENSG00000234720
HGNC:37668	ATP5F1AP10	100132619	ENSG00000277297
HGNC:830	ATP5F1B	506	ENSG00000110955
HGNC:831	ATP5F1BP1	507	ENSG00000231635
HGNC:833	ATP5F1C	509	ENSG00000165629
HGNC:834	ATP5F1CP1	645560	ENSG00000224004
HGNC:837	ATP5F1D	513	ENSG00000099624
HGNC:838	ATP5F1E	514	ENSG00000124172
HGNC:839	ATP5F1EP1	23744	ENSG00000250922
HGNC:34026	ATP5F1EP2	432369	ENSG00000180389
HGNC:871	ATP5IF1	93974	ENSG00000130770
HGNC:841	ATP5MC1	516	ENSG00000159199
HGNC:19815	ATP5MC1P1	319136	ENSG00000230157
HGNC:19817	ATP5MC1P2	319137	ENSG00000283016
HGNC:39506	ATP5MC1P3	646619	ENSG00000242244
HGNC:39507	ATP5MC1P4	100287755	ENSG00000227440
HGNC:39508	ATP5MC1P5	390424	ENSG00000227590
HGNC:39509	ATP5MC1P6	100505704	ENSG00000214318
HGNC:39510	ATP5MC1P7	100130962	ENSG00000232734
HGNC:39511	ATP5MC1P8	100288222	ENSG00000224948
HGNC:842	ATP5MC2	517	ENSG00000135390
HGNC:844	ATP5MC2P1	520	ENSG00000225712
HGNC:19672	ATP5MC2P2	319119	ENSG00000258401
HGNC:42187	ATP5MC2P3	100507097	ENSG00000230482
HGNC:42188	ATP5MC2P4	654480	ENSG00000228847
HGNC:843	ATP5MC3	518	ENSG00000154518
HGNC:31716	ATP5MDP1	100288307	ENSG00000231549
HGNC:846	ATP5ME	521	ENSG00000169020
HGNC:848	ATP5MF	9551	ENSG00000241468
HGNC:38844	ATP5MF-PTCD1	100526740	ENSG00000248919
HGNC:849	ATP5MFP1	101241877	ENSG00000224421
HGNC:21540	ATP5MFP2	387107	ENSG00000228834
HGNC:21286	ATP5MFP3	445573	ENSG00000232851
HGNC:32451	ATP5MFP4	654485	ENSG00000256826
HGNC:33611	ATP5MFP5	654484	ENSG00000256103
HGNC:33612	ATP5MFP6	654486	ENSG00000261102
HGNC:14247	ATP5MG	10632	ENSG00000167283
HGNC:13213	ATP5MGL	267020	ENSG00000249222
HGNC:13214	ATP5MGP1	53411	ENSG00000256280
HGNC:13215	ATP5MGP2	53410	ENSG00000232362
HGNC:13216	ATP5MGP3	53409	ENSG00000249256
HGNC:38165	ATP5MGP4	100130396	ENSG00000225176
HGNC:38167	ATP5MGP5	100287091	ENSG00000242561
HGNC:38168	ATP5MGP6	100462865	ENSG00000267376
HGNC:38169	ATP5MGP7	100287964	ENSG00000267189
HGNC:38170	ATP5MGP8	100462862	ENSG00000271332
HGNC:1188	ATP5MJ	9556	ENSG00000156411
HGNC:30889	ATP5MK	84833	ENSG00000173915
HGNC:840	ATP5PB	515	ENSG00000116459
HGNC:39742	ATP5PBP1	100422523	ENSG00000224451
HGNC:39743	ATP5PBP2	645973	ENSG00000214342
HGNC:39744	ATP5PBP3	644333	ENSG00000214003
HGNC:39745	ATP5PBP4	100422514	ENSG00000214025
HGNC:39746	ATP5PBP5	100128516	ENSG00000254944
HGNC:39747	ATP5PBP6	645440	ENSG00000219806
HGNC:39748	ATP5PBP7	124496	ENSG00000261424
HGNC:845	ATP5PD	10476	ENSG00000167863
HGNC:31021	ATP5PDP1	390581	ENSG00000261679
HGNC:49624	ATP5PDP2	138234	ENSG00000229184
HGNC:49625	ATP5PDP3	138864	ENSG00000213954
HGNC:49626	ATP5PDP4	246723	ENSG00000234925
HGNC:847	ATP5PF	522	ENSG00000154723
HGNC:23933	ATP5PFP1	359997	ENSG00000237701
HGNC:850	ATP5PO	539	ENSG00000241837
HGNC:54673	ATP5POP1	100132849	ENSG00000159186
HGNC:868	ATP6AP1	537	ENSG00000071553
HGNC:28091	ATP6AP1L	92270	ENSG00000205464
HGNC:18305	ATP6AP2	10159	ENSG00000182220
HGNC:867	ATP6N2		
HGNC:851	ATP6V1A	523	ENSG00000114573
HGNC:852	ATP6V1A2		
HGNC:853	ATP6V1B1	525	ENSG00000116039
HGNC:51118	ATP6V1B1-AS1	101927750	ENSG00000239322
HGNC:854	ATP6V1B2	526	ENSG00000147416
HGNC:856	ATP6V1C1	528	ENSG00000155097
HGNC:18264	ATP6V1C2	245973	ENSG00000143882
HGNC:13527	ATP6V1D	51382	ENSG00000100554
HGNC:857	ATP6V1E1	529	ENSG00000131100
HGNC:859	ATP6V1E1P1	343515	ENSG00000225099
HGNC:860	ATP6V1E1P2	100462844	ENSG00000266549
HGNC:858	ATP6V1E1P3	729435	ENSG00000256293
HGNC:18125	ATP6V1E2	90423	ENSG00000250565
HGNC:16832	ATP6V1F	9296	ENSG00000128524
HGNC:52392	ATP6V1FNB	100130705	ENSG00000272899
HGNC:864	ATP6V1G1	9550	ENSG00000136888
HGNC:19816	ATP6V1G1P1	319116	ENSG00000270371
HGNC:29359	ATP6V1G1P2	100128541	ENSG00000253502
HGNC:37670	ATP6V1G1P3	100462838	ENSG00000224662
HGNC:37671	ATP6V1G1P4	100462843	ENSG00000233343
HGNC:37672	ATP6V1G1P5	100462840	ENSG00000270904
HGNC:37673	ATP6V1G1P6	100462732	ENSG00000249372
HGNC:39852	ATP6V1G1P7	100874514	ENSG00000230474
HGNC:862	ATP6V1G2	534	ENSG00000213760
HGNC:41999	ATP6V1G2-DDX39B	100532737	ENSG00000254870
HGNC:18265	ATP6V1G3	127124	ENSG00000151418
HGNC:18303	ATP6V1H	51606	ENSG00000047249
HGNC:865	ATP6V0A1	535	ENSG00000033627
HGNC:18481	ATP6V0A2	23545	ENSG00000185344
HGNC:866	ATP6V0A4	50617	ENSG00000105929
HGNC:861	ATP6V0B	533	ENSG00000117410
HGNC:855	ATP6V0C	527	ENSG00000185883
HGNC:31323	ATP6V0CP1	100132978	ENSG00000230201
HGNC:40000	ATP6V0CP2	106478961	ENSG00000244142
HGNC:40001	ATP6V0CP3	442211	ENSG00000213435
HGNC:40002	ATP6V0CP4		ENSG00000284138
HGNC:13724	ATP6V0D1	9114	ENSG00000159720
HGNC:55268	ATP6V0D1-DT	101927837	ENSG00000270049
HGNC:18266	ATP6V0D2	245972	ENSG00000147614
HGNC:863	ATP6V0E1	8992	ENSG00000113732
HGNC:41935	ATP6V0E1P1	100874502	ENSG00000225364
HGNC:41936	ATP6V0E1P2	100874503	ENSG00000223513
HGNC:41937	ATP6V0E1P3	100133262	ENSG00000238038
HGNC:41938	ATP6V0E1P4	100874504	ENSG00000227883
HGNC:21723	ATP6V0E2	155066	ENSG00000171130
HGNC:44180	ATP6V0E2-AS1	401431	ENSG00000204934
HGNC:869	ATP7A	538	ENSG00000165240
HGNC:870	ATP7B	540	ENSG00000123191
HGNC:31014	ATP7BP1	100462825	ENSG00000270855
HGNC:13531	ATP8A1	10396	ENSG00000124406
HGNC:13533	ATP8A2	51761	ENSG00000132932
HGNC:39662	ATP8A2P1	100422505	ENSG00000240800
HGNC:39663	ATP8A2P2	100533851	ENSG00000229800
HGNC:42641	ATP8A2P3	100874518	ENSG00000233963
HGNC:3706	ATP8B1	5205	ENSG00000081923
HGNC:13534	ATP8B2	57198	ENSG00000143515
HGNC:13535	ATP8B3	148229	ENSG00000130270
HGNC:13536	ATP8B4	79895	ENSG00000104043
HGNC:27245	ATP8B5P	158381	ENSG00000179766
HGNC:13540	ATP9A	10079	ENSG00000054793
HGNC:13541	ATP9B	374868	ENSG00000166377
HGNC:13542	ATP10A	57194	ENSG00000206190
HGNC:13543	ATP10B	23120	ENSG00000118322
HGNC:13547	ATP10C		
HGNC:13549	ATP10D	57205	ENSG00000145246
HGNC:13552	ATP11A	23250	ENSG00000068650
HGNC:40645	ATP11A-AS1		ENSG00000232684
HGNC:33793	ATP11AUN	400165	ENSG00000197595
HGNC:13553	ATP11B	23200	ENSG00000058063
HGNC:13554	ATP11C	286410	ENSG00000101974
HGNC:13816	ATP12A	479	ENSG00000075673
HGNC:24215	ATP13A1	57130	ENSG00000105726
HGNC:30213	ATP13A2	23400	ENSG00000159363
HGNC:24113	ATP13A3	79572	ENSG00000133657
HGNC:25422	ATP13A4	84239	ENSG00000127249
HGNC:41095	ATP13A4-AS1	101929198	ENSG00000225473
HGNC:31789	ATP13A5	344905	ENSG00000187527
HGNC:41281	ATP13A5-AS1		ENSG00000236508
HGNC:29452	ATP23	91419	ENSG00000166896
HGNC:18803	ATPAF1	64756	ENSG00000123472
HGNC:18802	ATPAF2	91647	ENSG00000171953
HGNC:872	ATPL		
HGNC:873	ATPM		
HGNC:874	ATPSB		
HGNC:875	ATPSBL1		
HGNC:876	ATPSBL2		
HGNC:27029	ATPSCKMT	134145	ENSG00000150756
HGNC:882	ATR	545	ENSG00000175054
HGNC:24090	ATRAID	51374	ENSG00000138085
HGNC:883	ATRC1		
HGNC:884	ATRC2		
HGNC:33499	ATRIP	84126	ENSG00000164053
HGNC:885	ATRN	8455	ENSG00000088812
HGNC:29063	ATRNL1	26033	ENSG00000107518
HGNC:886	ATRX	546	ENSG00000085224
HGNC:887	ATS		
HGNC:10548	ATXN1	6310	ENSG00000124788
HGNC:40515	ATXN1-AS1	101928433	ENSG00000229931
HGNC:33279	ATXN1L	342371	ENSG00000224470
HGNC:10555	ATXN2	6311	ENSG00000204842
HGNC:51838	ATXN2-AS	102723619	ENSG00000258099
HGNC:31326	ATXN2L	11273	ENSG00000168488
HGNC:7106	ATXN3	4287	ENSG00000066427
HGNC:24173	ATXN3L	92552	ENSG00000123594
HGNC:10560	ATXN7	6314	ENSG00000163635
HGNC:22210	ATXN7L1	222255	ENSG00000146776
HGNC:28713	ATXN7L2	127002	ENSG00000162650
HGNC:25416	ATXN7L3	56970	ENSG00000087152
HGNC:55298	ATXN7L3-AS1	101926967	ENSG00000267394
HGNC:37931	ATXN7L3B	552889	ENSG00000253719
HGNC:54980	ATXN7L3P1	392485	ENSG00000215168
HGNC:28481	ATXN7L4		
HGNC:32925	ATXN8	724066	
HGNC:10561	ATXN8OS	6315	ENSG00000230223
HGNC:10549	ATXN10	25814	ENSG00000130638
HGNC:889	AUF1		
HGNC:890	AUH	549	ENSG00000148090
HGNC:23205	AUNA1		
HGNC:28363	AUNIP	79000	ENSG00000127423
HGNC:31916	AUNX1		
HGNC:891	AUP1	550	ENSG00000115307
HGNC:11393	AURKA	6790	ENSG00000087586
HGNC:24114	AURKAIP1	54998	ENSG00000175756
HGNC:18611	AURKAP1	6791	ENSG00000213033
HGNC:18612	AURKAP2	386665	ENSG00000230165
HGNC:11390	AURKB	9212	ENSG00000178999
HGNC:18613	AURKBP1	644233	ENSG00000230948
HGNC:11391	AURKC	6795	ENSG00000105146
HGNC:892	AUTS1		
HGNC:14262	AUTS2	26053	ENSG00000158321
HGNC:13217	AUXN		
HGNC:893	AVED		
HGNC:13509	AVEN	57099	ENSG00000169857
HGNC:14188	AVIL	10677	ENSG00000135407
HGNC:28994	AVL9	23080	ENSG00000105778
HGNC:894	AVP	551	ENSG00000101200
HGNC:30898	AVPI1	60370	ENSG00000119986
HGNC:895	AVPR1A	552	ENSG00000166148
HGNC:896	AVPR1B	553	ENSG00000198049
HGNC:897	AVPR2	554	ENSG00000126895
HGNC:898	AVPR3		
HGNC:899	AVR		
HGNC:900	AVRR		
HGNC:12721	AVSD1		
HGNC:16680	AVSD2		
HGNC:901	AWAL		
HGNC:23252	AWAT1	158833	ENSG00000204195
HGNC:23251	AWAT2	158835	ENSG00000147160
HGNC:902	AXA1		
HGNC:26564	AXDND1	126859	ENSG00000162779
HGNC:903	AXIN1	8312	ENSG00000103126
HGNC:904	AXIN2	8313	ENSG00000168646
HGNC:905	AXL	558	ENSG00000167601
HGNC:906	AXPC1		
HGNC:907	AXT		
HGNC:908	AZF1		
HGNC:909	AZF2		
HGNC:910	AZGP1	563	ENSG00000160862
HGNC:911	AZGP1P1	646282	ENSG00000214313
HGNC:912	AZGP1P2	401393	ENSG00000214252
HGNC:24002	AZI2	64343	ENSG00000163512
HGNC:16432	AZIN1	51582	ENSG00000155096
HGNC:29957	AZIN2	113451	ENSG00000142920
HGNC:913	AZU1	566	ENSG00000172232
HGNC:49098	AZU1P1		ENSG00000270444
HGNC:914	B2M	567	ENSG00000166710
HGNC:915	B2MR	568	
HGNC:918	B3GALNT1	8706	ENSG00000169255
HGNC:51302	B3GALNT1P1	100128857	ENSG00000229948
HGNC:28596	B3GALNT2	148789	ENSG00000162885
HGNC:51315	B3GALNT2P1	100130402	ENSG00000218725
HGNC:916	B3GALT1	8708	ENSG00000172318
HGNC:40089	B3GALT1-AS1	105616981	ENSG00000235335
HGNC:917	B3GALT2	8707	ENSG00000162630
HGNC:919	B3GALT4	8705	ENSG00000235863
HGNC:920	B3GALT5	10317	ENSG00000183778
HGNC:16424	B3GALT5-AS1	114041	ENSG00000184809
HGNC:17978	B3GALT6	126792	ENSG00000176022
HGNC:53652	B3GALT9	100288842	ENSG00000214654
HGNC:921	B3GAT1	27087	ENSG00000109956
HGNC:27449	B3GAT1-DT	283177	ENSG00000255545
HGNC:922	B3GAT2	135152	ENSG00000112309
HGNC:923	B3GAT3	26229	ENSG00000149541
HGNC:35243	B3GAT3P1	402146	ENSG00000244009
HGNC:20207	B3GLCT	145173	ENSG00000187676
HGNC:15629	B3GNT2	10678	ENSG00000170340
HGNC:51316	B3GNT2P1	100422469	ENSG00000229946
HGNC:13528	B3GNT3	10331	ENSG00000179913
HGNC:15683	B3GNT4	79369	ENSG00000176383
HGNC:15684	B3GNT5	84002	ENSG00000176597
HGNC:24141	B3GNT6	192134	ENSG00000198488
HGNC:18811	B3GNT7	93010	ENSG00000156966
HGNC:24139	B3GNT8	374907	ENSG00000177191
HGNC:28714	B3GNT9	84752	ENSG00000237172
HGNC:21727	B3GNTL1	146712	ENSG00000175711
HGNC:51317	B3GNTL1P1		ENSG00000251237
HGNC:51318	B3GNTL1P2		ENSG00000271328
HGNC:4117	B4GALNT1	2583	ENSG00000135454
HGNC:24136	B4GALNT2	124872	ENSG00000167080
HGNC:51319	B4GALNT2P1		ENSG00000248883
HGNC:24137	B4GALNT3	283358	ENSG00000139044
HGNC:26315	B4GALNT4	338707	ENSG00000182272
